58786157,365.0,897.0
57737773,557.0,881.0
62063615,1023.0,947.0
63243697,1457.0,965.0
63702545,1553.0,972.0
61932769,1249.0,945.0
58983169,769.0,900.0
55378321,401.0,845.0
57213351,423.0,873.0
61014833,817.0,931.0
62915873,1313.0,960.0
62981661,1565.0,961.0
61015425,1409.0,931.0
58721217,961.0,896.0
54526461,509.0,832.0
55116145,369.0,841.0
57737849,633.0,881.0
62194785,1121.0,949.0
63505921,1537.0,969.0
62916097,1537.0,960.0
60359825,1169.0,921.0
56689317,677.0,865.0
56885633,385.0,868.0
59703777,481.0,911.0
60883857,913.0,929.0
61867367,1383.0,944.0
61802015,1567.0,943.0
60491075,1347.0,923.0
56820577,865.0,867.0
57082313,457.0,871.0
59244933,389.0,904.0
59179719,711.0,903.0
60753089,1217.0,927.0
61933063,1543.0,945.0
60622337,1537.0,925.0
57738291,1075.0,881.0
57475667,595.0,877.0
58720623,367.0,896.0
57803297,545.0,882.0
62194677,1013.0,949.0
63899047,1447.0,975.0
64554517,1557.0,985.0
62981363,1267.0,961.0
59835143,775.0,913.0
56689049,409.0,865.0
58720677,421.0,896.0
58721057,801.0,896.0
59311375,1295.0,905.0
59049497,1561.0,901.0
57083283,1427.0,871.0
57738197,981.0,881.0
57475583,511.0,877.0
58982761,361.0,900.0
59048551,615.0,901.0
60032081,1105.0,916.0
60884481,1537.0,929.0
59835905,1537.0,913.0
56689825,1185.0,865.0
56689329,689.0,865.0
56689025,385.0,865.0
59048409,473.0,901.0
59507585,897.0,908.0
60687705,1369.0,926.0
61277735,1575.0,935.0
59966805,1365.0,915.0
56624001,897.0,864.0
56426963,467.0,861.0
58720641,385.0,896.0
58720961,705.0,896.0
59049125,1189.0,901.0
59246081,1537.0,904.0
57476609,1537.0,877.0
58721351,1095.0,896.0
54067809,609.0,825.0
54198635,363.0,827.0
56427007,511.0,861.0
60359637,981.0,921.0
61277597,1437.0,935.0
61343261,1565.0,936.0
59049227,1291.0,901.0
55378717,797.0,845.0
55378339,419.0,845.0
57475481,409.0,877.0
61604621,781.0,940.0
63374591,1279.0,967.0
64751129,1561.0,988.0
64226727,1447.0,980.0
62194667,1003.0,949.0
59310619,539.0,905.0
56820071,359.0,867.0
59834961,593.0,913.0
60752953,1081.0,927.0
62457345,1537.0,953.0
61670913,1537.0,941.0
59638967,1207.0,910.0
56689351,711.0,865.0
56951169,385.0,869.0
59441607,455.0,907.0
60228457,873.0,919.0
61867337,1353.0,944.0
61933095,1575.0,945.0
60163431,1383.0,918.0
57213839,911.0,873.0
57082337,481.0,871.0
59310465,385.0,905.0
59179683,675.0,903.0
60753041,1169.0,927.0
62195201,1537.0,949.0
61539841,1537.0,939.0
58917977,1113.0,899.0
55181939,627.0,842.0
55640433,369.0,849.0
57868799,511.0,883.0
62456773,965.0,953.0
63636879,1423.0,971.0
63899169,1569.0,975.0
62915861,1301.0,960.0
59835185,817.0,913.0
56623533,429.0,864.0
58786195,403.0,897.0
58721025,769.0,896.0
